Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
2009,9.3,9.7,0,2,73,20,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
2023,9.7,9.7,4,5,389,350,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
2018,7.9,9.4,1,2,33,30,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
2022,9.8,9.8,1,2,154,35,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
2009,8.9,9.5,0,2,70,21,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2014,9.2,9.3,0,2,35,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2013,8.3,9.5,0,2,71,17,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2015,8.5,9.4,0,2,70,17,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
2009,7.7,9.2,0,2,58,16,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2022,9.7,9.8,1,5,64,32,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
2013,0.3,9.6,0,2,72,15,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
2021,8.3,9.4,0,2,122,22,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2009,8.1,8.4,0,2,49,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2020,9.4,9.3,1,2,40,26,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2019,8.9,9.7,0,2,83,22,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2017,9.3,9.7,0,2,169,23,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
2013,7.7,8.7,0,2,50,24,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2018,9.7,9.6,3,4,58,85,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
2017,9.7,9.7,2,6,100,100,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0
2015,9.6,9.3,2,5,110,140,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
2008,8.2,9.2,1,2,60,18,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
2013,8.8,8.6,0,2,40,41,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2012,8,9.3,0,2,53,25,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
2022,9.4,8.8,0,2,93,26,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
2022,9.8,9.7,1,5,64,32,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2018,8.4,9,0,2,79,22,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
2013,8.7,9.6,0,2,89,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
2019,9.3,9.5,3,5,115,20,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,8.7,8.8,0,2,60,25,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
2019,9.1,9.1,1,2,105,35,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2015,8.6,8.3,3,10,295,150,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0
2014,7.3,7.3,0,2,38,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2015,9.6,9.7,2,3,130,85,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
2009,7.4,8.9,0,2,64,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2007,8.2,9,0,2,65,15,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2012,9.2,9,0,2,60,15,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
2018,9.6,9.4,1,3,90,40,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1
2013,8.6,9.1,0,3,50,20,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2016,9.1,9.3,1,3,39,29,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
2017,9.3,9.8,0,4,110,25,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2022,9,9.4,0,3,30,38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2010,8.5,9.6,0,2,97,15,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2012,8.5,9.4,0,2,65,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2017,8.4,9.3,0,2,58,18,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2015,9.5,9.9,1,2,60,30,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
2022,9.3,8.9,0,2,50,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020,8.6,8.8,0,2,38,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2019,8.6,9.3,3,5,152,250,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
2010,7.9,9.6,0,2,94,18,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2015,9,9.3,0,2,65,16,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2022,9.9,9.5,1,2,254,24,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
2012,7.9,9.1,0,2,40,16,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
2014,8.1,8.7,0,2,55,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2019,9.4,9,0,2,95,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
2020,8.9,9,0,2,55,38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2019,8.2,8.2,0,2,29,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2008,9.4,9.8,0,2,75,26,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2019,7.9,8.7,1,2,60,24,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0
2009,8.1,8.2,0,2,52,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2015,7.7,9,0,2,57,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2012,8,9.4,0,2,53,25,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
2022,9,8.7,1,3,51,45,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
2013,7.9,8.7,0,2,81,35,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
2014,8.3,8.5,0,2,39,18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2015,8.8,9.1,1,2,55,35,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2018,8.8,9.4,1,2,38,37,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
2020,8.1,9,0,2,50,18,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
2014,7.8,7.8,0,2,34,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2007,8.4,8.2,0,2,60,20,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
2018,9.1,8.3,0,2,94,19,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2023,8.8,9.1,1,2,45,40,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
2023,9.6,9.7,1,2,59,50,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
2016,9,9,1,2,65,37,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
2021,8.6,9,0,2,35,30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2020,9.2,9.6,1,3,41,55,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0
2023,9,9,1,3,40,45,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2017,9.1,8.8,1,7,45,65,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
2014,10,10,1,7,235,200,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
2017,8.4,8.9,1,1,40,22,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
2021,9.3,9.5,1,2,40,45,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
2011,8.8,9.3,0,2,58,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2013,8.9,9.3,1,2,175,115,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0
2022,9.8,9.8,1,2,95,39,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1
2023,9.6,9.9,1,4,155,85,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
2017,8.7,8.8,0,2,65,24,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
2015,8.2,9.3,0,3,35,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2014,8.3,9.1,1,2,40,40,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
2017,9.8,9.6,2,6,85,75,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0
2014,9.1,9.4,0,2,40,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2022,9.3,9.6,1,2,116,46,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0
2019,9.5,9.9,2,2,67,45,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
2021,9.1,9.4,1,2,49,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2015,9.2,9.4,0,2,40,30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2017,9.5,9.7,0,3,46,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2023,9.8,9.8,1,2,59,29,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
2020,8.1,9.3,7,14,400,320,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0
