Numurs,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
183,2012,8.2,8.7,0,2,155,27,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
184,2012,8.2,8.7,0,2,135,25,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
185,2012,8.2,8.7,0,2,155,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
186,2012,8.2,8.7,0,2,240,57,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
187,2012,8.2,8.7,0,2,260,57,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
188,2007,8.3,8.8,0,2,80,15,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1
189,2007,8.3,8.8,0,2,100,20,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1
190,2007,8.3,8.8,0,2,120,20,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1
191,2007,9.1,9.4,0,2,55,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
192,2007,9.1,9.4,0,2,65,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
193,2007,8.1,8.4,0,2,50,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
194,2007,8.1,8.4,0,2,58,19,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
195,2007,8.1,8.4,0,2,67,16,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
196,2007,8.1,8.4,0,2,77,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
197,2007,8.1,8.4,0,2,87,30,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
198,2007,8.6,8.7,0,2,62,18,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
199,2007,8.6,8.7,0,2,92,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
200,2007,8.6,8.7,0,2,97,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
201,2007,8.6,8.7,1,2,102,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
202,2007,8.6,8.7,0,2,112,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1
203,2010,8.1,9,0,2,40,28,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
204,2010,8.1,9,0,2,52,40,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
205,2010,8.1,9,0,3,50,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
206,2010,8.1,9,0,4,65,33,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
207,2010,8.1,9,0,4,65,50,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
208,2018,8.7,9.4,0,2,78,21,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
209,2018,8.7,9.4,0,2,104,21,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
210,2018,8.7,9.4,0,2,114,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
211,2018,8.7,9.4,0,3,156,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
212,2018,8.7,9.4,0,2,117,29,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
213,2018,8.7,9.4,0,3,159,29,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
214,2018,8.7,9.4,0,2,129,24,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
215,2018,8.7,9.4,0,3,171,24,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1
