Nosaukums,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,,baseins,restorāns,apkalpošana numura,brokastis,bārs
Balvu centrs,2023,7.3,9.2,2,6,56,70,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
Balvu centrs,2023,7.3,9.2,2,1,42,70,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
Apartamenti Bulvāris,2018,9.5,9.4,2,2,50,44,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
Apartamenti Bulvāris,2018,9.5,9.4,2,3,80,44,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
Apartamenti Bulvāris,2018,9.5,9.4,2,4,100,44,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
DvīņuMājas,2014,9.1,9.8,2,2,100,100,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
DvīņuMājas,2014,9.1,9.8,2,3,120,100,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
DvīņuMājas,2014,9.1,9.8,2,4,140,100,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
DvīņuMājas,2014,9.1,9.8,2,5,160,100,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
DvīņuMājas,2014,9.1,9.8,2,6,180,100,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
DvīņuMājas,2014,9.1,9.8,2,7,200,100,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
DvīņuMājas,2014,9.1,9.8,2,1,80,100,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
Šaha Kluba Apartamenti,2014,9.7,9.9,0,3,75,46,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
Šaha Kluba Apartamenti,2014,9.7,9.9,0,2,80,65,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
Šaha Kluba Apartamenti,2014,9.7,9.9,1,3,75,46,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
Good J&I apartment,2023,9.7,9.5,2,2,61,72,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Good J&I apartment,2023,9.7,9.5,2,3,65,72,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Good J&I apartment,2023,9.7,9.5,2,4,72,72,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Good J&I apartment,2023,9.7,9.5,2,1,58,72,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Motel Sapnis,2014,7.9,8,0,2,40,18,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
Estate Holiday home,2017,9.5,9.4,3,2,99,120,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Estate Holiday home,2017,9.5,9.4,3,3,113,120,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Estate Holiday home,2017,9.5,9.4,3,4,122,120,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Estate Holiday home,2017,9.5,9.4,3,5,140,120,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Estate Holiday home,2017,9.5,9.4,3,6,144,120,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Estate Holiday home,2017,9.5,9.4,3,1,90,120,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Tūrisma mītne ZVIEDRI,2022,9.4,9.9,1,2,58,37,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Centra apartamenti,2023,9.8,9.7,1,2,69,52,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Centra apartamenti,2023,9.8,9.7,1,3,73,52,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Centra apartamenti,2023,9.8,9.7,1,4,77,52,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Centra apartamenti,2023,9.8,9.7,1,1,65,52,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Rudzupuķes,2016,8.4,8.5,0,2,48,25,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1
Rudzupuķes,2016,8.4,8.5,0,2,63,16,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1
Rudzupuķes,2016,8.4,8.5,0,3,66,16,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1
Rudzupuķes,2016,8.4,8.5,0,1,33,16,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1
Meža māja,2020,9.4,9.5,1,3,70,25,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0
kvartira,2022,8.1,8.4,1,2,42,45,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
kvartira,2022,8.1,8.4,1,3,43,45,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
kvartira,2022,8.1,8.4,1,4,45,45,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
kvartira,2022,8.1,8.4,1,1,41,45,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Rēzijas,2013,9.4,9.5,0,2,45,15,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
Rēzijas,2013,9.4,9.5,0,2,50,15,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
Rēzijas,2013,9.4,9.5,0,5,70,60,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
Sniegi Apartments,2019,9.4,9.4,3,2,85,95,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Sniegi Apartments,2019,9.4,9.4,3,3,86,95,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
